WS,Element
Adicional2,BUC.Acropolis_L2
Adicional2,HUI.Club Neiva_T2
Adicional2,BOG.Las Ferias-1_L3
Adicional2,BOG.Modelo Sur-2_T3
Adicional2,BOG.Navarra-1_T2
Adicional2,SND.San Andres_T1
Adicional2,BOG.IND Campin_L7
Adicional2,BOG.Macarena:P1_T2
Adicional2,BOG.San Martin_M3
Adicional2,BOG.San Martin_T1
Adicional2,BOG.Centro Narino_T2
Adicional2,BOG.Torre Argos_M2
Adicional2,FLO.Batallon_T2
Adicional2,BOG.San Facon_M3
Adicional2,BOG.San Martin_L1
Adicional2,CAQ.Doncello-2_M2
Adicional2,BOG.San Facon_L2
Adicional2,BOG.Tintal-2_T1
Adicional2,BOG.IND Campin_L11
Adicional2,HUI.Club Neiva_M1
Adicional2,BOG.12 de Octubre_L2
Adicional2,BOG.Parque Milenio_L1
Adicional2,BOG.12 de Octubre_T2
Adicional2,BOG.TM 21 Angeles_L1
Adicional2,CAQ.Pto Rico-2_M2
Adicional2,HUI.Club Neiva_M2
Adicional2,BOG.IND Bancompartir_L1
Adicional2,BOG.Tintal-2_M1
Adicional2,BOG.IND Compensar 68_L6
Adicional2,MET.Campo Rubiales-3_L1
Adicional2,BOG.Las Ferias-1_T2
Adicional2,BOG.Galan-2_R2
Adicional2,TUN.la Maria:H1_M1
Adicional2,BOG.11 de Noviembre_L3
Adicional2,BOG.La Fragua_M5
Adicional2,DUI.Ciudadela Industrial_L1
Adicional2,BOG.San Martin_L2
Adicional2,BUC.Acropolis_L1
Adicional2,BUC.Acropolis_M2
Adicional2,FLO.Ciudadela_L2
Adicional2,BOG.Bodegas Franco_M3
Adicional2,BOG.IND CocaCola 106_L1
Adicional2,BOG.Macarena:P1_T1
Adicional2,BOG.Parque 93-2_L3
Adicional2,DUI.Juan Grande_T2
Adicional2,BOG.Suba-1_M2
Adicional2,HUI.Guadalupe_T2
Adicional2,BOG.Navarra-1_L2
Adicional2,CAS.Villa Nueva-7_M2
Adicional2,FLO.Via Neiva_L2
Adicional2,BOG.Galan-2_L3
Adicional2,BOG.Suba-1_T3
Adicional2,HUI.Garzon-1_L1
Adicional2,IBG.Rb Salado-2_M2
Adicional2,BOG.Paloquemao-1_T2
Adicional2,BOG.Parque 93-2_M1
Adicional2,BOG.San Facon_T2
Adicional2,BOG.San Martin_T7
Adicional2,CUC.Quintaboch_T3
Adicional2,DUI.Ciudadela Industrial_T2
Adicional2,HUI.Guadalupe_T1
Adicional2,CUC.Quintaboch_M5
Adicional2,HUI.Club Neiva_T1
Adicional2,BOG.San Facon_L3
Adicional2,SJG.San Jose-8_M1
Adicional2,FLO.Ciudadela_M2
Adicional2,IBG.Rb Salado-2_M3
Adicional2,MET.San Martin-2_M2
Adicional2,PUT.La Pedregosa_M3
Adicional2,BOG.Paloquemao-1_T3
Adicional2,BOG.San Martin_T2
Adicional2,BOY.El Cocuy_M3
Adicional2,FLO.Batallon_M1
Adicional2,BOY.Boyaca_M1
Adicional2,BUC.Acropolis_M3
Adicional2,BOG.Centro Narino_R3
Adicional2,BOG.U Gran Colombia_L2
Adicional2,DUI.Colombia_M2
Adicional2,MET.San Martin-2_T2
Adicional2,BOG.Galan-2_L1
Adicional2,BOG.Navarra-1_T3
Adicional2,FLO.Via Neiva_T1
Adicional2,BOG.Galan-2_R3
Adicional2,BOG.IND Campin_L13
Adicional2,CUC.San Luis-2_L1
Adicional2,MET.Campo Rubiales-3_L2
Adicional2,BOG.Parque Milenio_M1
Adicional2,BOG.Torre Argos_T1
Adicional2,BOG.Galan-2_T4
Adicional2,BOG.San Facon_M5
Adicional2,BUC.Acropolis_T3
Adicional2,BOG.Paloquemao-1_R1
Adicional2,BOG.Torre Argos_M3
Adicional2,BOG.La Fragua_M1
Adicional2,BOG.Parque Milenio_T2
Adicional2,BOG.12 de Octubre_L3
Adicional2,BOG.Modelo Sur-2_M3
Adicional2,BOG.San Martin_R2
Adicional2,CAS.Florena_M2
Adicional2,BOG.12 de Octubre_M2
Adicional2,CAS.La Chaparrera_M2
Adicional2,IBG.Rb Salado-2_L3
Adicional2,SND.Cite_M2
Adicional2,BOG.Bodegas Franco_L3
Adicional2,BOG.IND Campin_L12
Adicional2,BOG.La Fragua_T3
Adicional2,BUC.Mejoras Publicas_M2
Adicional2,DUI.Juan Grande_L2
Adicional2,ARA.Saravena_M4
Adicional2,BOG.IND Campin_L8
Adicional2,HUI.San Agustin_T1
Adicional2,BOG.Modelo Sur-2_M1
Adicional2,CAS.Villa Nueva-7_L3
Adicional2,CUC.Quintaboch_M3
Adicional2,CUC.San Luis-2_M3
Adicional2,BOY.El Cocuy_M4
Adicional2,CUC.San Luis-2_M1
Adicional2,IBG.Rb Salado-2_L2
Adicional2,MET.Campo Rubiales-3_L3
Adicional2,NOR.Ecopetrol Tibu_L3
Adicional2,BOG.Parque 93-2_L1
Adicional2,DUI.Colombia_L1
Adicional2,FLO.Batallon_L3
Adicional2,BOG.Las Ferias-1_R4
Adicional2,BOG.Modelo Sur-2_R2
Adicional2,BOG.Parque 93-2_T2
Adicional2,BOG.Arcadia_M2
Adicional2,ARA.Saravena_M3
Adicional2,DUI.Juan Grande_M5
Adicional2,FLO.Batallon_T1
Adicional2,BOG.Arcadia_T1
Adicional2,BOG.IND Campin_L3
Adicional2,BOG.IND Compensar 68_L1
Adicional2,BOG.U Gran Colombia_L3
Adicional2,BUC.Mejoras Publicas_L2
Adicional2,BOG.La Fragua_R1
Adicional2,BOG.Modelo Sur-2_L2
Adicional2,CAQ.Pto Rico-2_M5
Adicional2,TUN.la Maria:H1_T1
Adicional2,BOG.IND Compensar 68_L5
Adicional2,BOY.El Cocuy_M6
Adicional2,HUI.Campo Alegre_M3
Adicional2,BOG.12 de Octubre_L1
Adicional2,BOG.Navarra-1_L3
Adicional2,CUC.IND CAV Express_L1
Adicional2,IBG.Rb Salado-2_L1
Adicional2,BOG.Galan-2_R1
Adicional2,BOG.IND Campin_L10
Adicional2,CUN.La Vega_T1
Adicional2,IBG.Rb Salado-2_T2
Adicional2,BOG.Paloquemao-1_T1
