WS,Element
Sesion5,CAR.Barcelona:H1_T2
Sesion5,CAR.Barcelona:H2_R2
Sesion5,CAR.Bocagrande_M2
Sesion5,CAR.CC Las Americas_M1
Sesion5,CAR.Cadetes (P2)_L1
Sesion5,CAR.Cartagenita_T2
Sesion5,CAR.Complejo Raquetas_L3
Sesion5,CAR.Complejo Raquetas_R3
Sesion5,CAR.Crespo-3_L3
Sesion5,CAR.IND Plaza Bocagrande_M3
Sesion5,CAR.Muelles El Bosque (P1)_T2
Sesion5,CAR.Plazuela_T3
Sesion5,CAR.Surtigas-2_T1
Sesion5,BAR.Batalla de Flores-3 (P1)_L6
Sesion5,BAR.Boulevard 59 (P1)_M3
Sesion5,BAR.Buenos Aires_M1
Sesion5,BAR.Circunvalar-1 (P1)_M2
Sesion5,BAR.Circunvalar-3 (P1)_T3
Sesion5,BAR.Club Caujaral_M1
Sesion5,BAR.Cordialidad-3_M1
Sesion5,BAR.Estadio Metro-2_L8
Sesion5,BAR.Hilton Garden (P2)_T2
Sesion5,BAR.Las Cayenas (P1)_M1
Sesion5,BAR.Nueva Colombia (P1)_T2
Sesion5,BAR.Parque Rosado (P3)_L2
Sesion5,BAR.Puerta de Oro (P2)_L1
Sesion5,BAR.RB Carrizal_M1
Sesion5,BAR.Silencio:H2_T1
Sesion5,BAR.Via 40-4_L5
Sesion5,CAR.Bocagrande-2:P3_M3
Sesion5,CAR.El Pozon_L2
Sesion5,CAR.Manzanillo_M3
Sesion5,CAR.Marbella_L1
Sesion5,CAR.Membrillal_T1
Sesion5,CAR.Socorro_L3
Sesion5,CAR.Terminal Reub_M1
Sesion5,CAR.UTB_L1
Sesion5,BAR.Altos Riomar_L2
Sesion5,BAR.C Americanos Moderno (P1)_L3
Sesion5,BAR.CD Caribe_T3
Sesion5,BAR.Carrera 30 (P1)_L1
Sesion5,BAR.Chiquinquira_M3
Sesion5,BAR.Circunvalar-3 (P1)_R3
Sesion5,BAR.Concord_M2
Sesion5,BAR.IND Muebles Jamar_L2
Sesion5,BAR.Pa la Playa (P1)_M3
Sesion5,BAR.RB Batalla Flores-1 (P1)_T2
Sesion5,BAR.Rb El Bosque_T1
Sesion5,BAR.Rb Paseo Bolivar_L2
Sesion5,BOL.Isla Grande_L2
Sesion5,BOL.Matute_M1
Sesion5,BOL.Mompox-1_T2
Sesion5,BOL.Nepomuceno-5_L2
Sesion5,CAR.Argos Cantera_L3
Sesion5,CAR.Cementerio-4_M1
Sesion5,CAR.Contadora-2_M2
Sesion5,CAR.Crespo-3_R2
Sesion5,CAR.La Princesa_L1
Sesion5,CAR.Mamonal-5_M2
Sesion5,BAR.Carrera 38_T3
Sesion5,BAR.Carrizal-2_L2
Sesion5,BAR.Centro-1:H1_M1
Sesion5,BAR.Country Club-2 (P1)_T3
Sesion5,BAR.IND Steckerl_L1
Sesion5,BAR.La Mina_M2
Sesion5,BAR.Marisol_L3
Sesion5,BAR.Parque Rosado (P4)_M3
Sesion5,BAR.Pelu_M1
Sesion5,BAR.RB Via 40-2 (P1)_M2
Sesion5,BAR.Springfield:H3_M1
Sesion5,BOL.San Cayetano_T3
Sesion5,BOL.Santa Catalina_T2
Sesion5,CAR.Cordialidad_L1
Sesion5,CAR.Crespo-3_L2
Sesion5,CAR.IND Davivienda Colseguros_L1
Sesion5,CAR.Morros_R1
Sesion5,CAR.Pozon-2_M2
Sesion5,BAR.Alboraya (P1)_T3
Sesion5,BAR.Alfonso Lopez_T3
Sesion5,BAR.Buenavista-4 (P1)_T3
Sesion5,BAR.Chiquinquira_T3
Sesion5,BAR.Circunvalar-3 (P1)_L3
Sesion5,BAR.Concretos (P1)_T1
Sesion5,BAR.Estadio Metro-2_T2
Sesion5,BAR.Miramar-1_L3
Sesion5,BAR.Olaya Herrera_L7
Sesion5,BAR.Pa la Playa_T2
Sesion5,BAR.Paraiso_T1
Sesion5,BAR.Prado-2_M2
Sesion5,BAR.Temp Carnaval 2020-1_L6
Sesion5,BAR.Universal (P1)_L2
Sesion5,BOL.Canaveral_M3
Sesion5,BOL.Cantagallo_L3
Sesion5,BOL.Maria la Baja-3_T1
Sesion5,BOL.Mompox-4_M1
Sesion5,BOL.Regidor_L2
Sesion5,BOL.Turbaco-1_T2
Sesion5,CAR.CAC Bocagrande_M2
Sesion5,CAR.Contadora-2_M1
Sesion5,CAR.Contadora_R1
Sesion5,CAR.Getsemani_T2
Sesion5,CAR.Hospital Naval Reub_T2
Sesion5,CAR.Inem-2_M3
Sesion5,CAR.Mamonal-12_T1
Sesion5,CAR.San Fernando-3_T2
Sesion5,BAR.Agrecon (P1)_M2
Sesion5,BAR.Aguila_T3
Sesion5,BAR.Avenida del Rio (P1)_L2
Sesion5,BAR.Castellana_L2
Sesion5,BAR.Concepcion_L6
Sesion5,BAR.Esperanza_R1
Sesion5,BAR.Estadio Metro-2_M11
Sesion5,BAR.Gracetales_M1
Sesion5,BAR.IND Corpoacero_T1
Sesion5,BAR.IND Union de Droguistas_T1
Sesion5,BAR.Miramar-2 (P1)_L3
Sesion5,BAR.Patinodromo_T2
Sesion5,BAR.Pelu_T2
Sesion5,BOL.Mompox-2_L3
Sesion5,BOL.San Cayetano_M3
Sesion5,CAR.Bazurto_M4
Sesion5,CAR.Bocagrande-2:P1_L1
Sesion5,CAR.Bocagrande-3_M3
Sesion5,CAR.CC Las Americas:H4_T1
Sesion5,CAR.Camaguey_L2
Sesion5,CAR.Crespo-3_L1
Sesion5,CAR.El Dorado_T3
Sesion5,CAR.Mamonal-3 Reub_M2
Sesion5,CAR.RB Crespo_T3
Sesion5,CAR.RB Palmeras_T1
Sesion5,CAR.San Fernando_R3
Sesion5,CAR.Socorro-3_L2
Sesion5,CAR.Surtigas_L2
Sesion5,CAR.Tamarindo-2_T2
Sesion5,CAR.Villa Lorena-4_M1
Sesion5,BAR.Agrecon (P1)_L3
Sesion5,BAR.Alfonso Lopez_M1
Sesion5,BAR.Alto Prado-2_M1
Sesion5,BAR.Caridad del Cobre_M2
Sesion5,BAR.Carrera 44 (P2)_T1
Sesion5,BAR.Chiquinquira_T1
Sesion5,BAR.Ciudad Jardin_M2
Sesion5,BAR.Cordialidad-2_L2
Sesion5,BAR.Estadio Metro-2_M8
Sesion5,BAR.Exito_L2
Sesion5,BAR.Granabastos-2_M3
Sesion5,BAR.IND Centro Tauro_L2
Sesion5,BAR.Metropolitano_T1
Sesion5,BAR.Miramar-1_T3
